+------+--------------------+-------------+---------------+
| Rank |     Drug Name      | Target Name | Binding Score |
+------+--------------------+-------------+---------------+
|  1   |     Quercetin      |    P28062   |      6.47     |
|  2   |      Luteolin      |    P28062   |      6.37     |
|  3   |    Cannflavin A    |    P28062   |      6.32     |
|  4   |     Canniprene     |    P28062   |      6.28     |
|  5   |    Cannflavin B    |    P28062   |      6.23     |
|  6   |     Quercetin      |    Q13510   |      6.20     |
|  7   |     Quercetin      |    P01889   |      6.19     |
|  8   |      Luteolin      |    Q13510   |      6.09     |
|  9   |      Luteolin      |    P01889   |      6.07     |
|  10  |    Cannflavin A    |    Q13510   |      6.04     |
|  11  |    Cannflavin A    |    P01889   |      6.02     |
|  12  |     Canniprene     |    Q13510   |      6.01     |
|  13  |     Canniprene     |    P01889   |      5.99     |
|  14  | 6-prenylnaringenin |    P28062   |      5.96     |
|  15  |    Cannflavin B    |    Q13510   |      5.95     |
|  16  |     Quercetin      |    O75173   |      5.92     |
|  17  |     Quercetin      |    B5A964   |      5.91     |
|  18  |    Cannflavin B    |    P01889   |      5.90     |
|  19  |     Quercetin      |    P05231   |      5.90     |
|  20  |     Quercetin      |    P35916   |      5.89     |
|  21  |     Quercetin      |    B7VFE3   |      5.89     |
|  22  |    Cannflavin C    |    P28062   |      5.88     |
|  23  | Cannabistilbene I  |    P28062   |      5.88     |
|  24  |     Quercetin      |    P43405   |      5.86     |
|  25  |     Hesperetin     |    P28062   |      5.85     |
|  26  |      Luteolin      |    O75173   |      5.83     |
|  27  |     Quercetin      |    A2NVQ1   |      5.80     |
|  28  |      Luteolin      |    B5A964   |      5.79     |
|  29  |      Luteolin      |    B7VFE3   |      5.79     |
|  30  |      Luteolin      |    P35916   |      5.79     |
|  31  |     Quercetin      |    Q96S37   |      5.77     |
|  32  |    Cannflavin A    |    O75173   |      5.76     |
|  33  |    Cannflavin A    |    B7VFE3   |      5.75     |
|  34  |      Luteolin      |    P05231   |      5.75     |
|  35  |    Cannflavin A    |    B5A964   |      5.74     |
|  36  |      Luteolin      |    P43405   |      5.74     |
|  37  |    Cannflavin A    |    P35916   |      5.73     |
|  38  |     Canniprene     |    B7VFE3   |      5.72     |
|  39  |     Quercetin      |    Q08345   |      5.72     |
|  40  |     Quercetin      |    P07333   |      5.71     |
|  41  |     Canniprene     |    B5A964   |      5.71     |
|  42  |     Canniprene     |    O75173   |      5.71     |
|  43  |      Luteolin      |    A2NVQ1   |      5.70     |
|  44  |     Canniprene     |    P35916   |      5.69     |
|  45  |     Quercetin      |    A2NVQ0   |      5.69     |
|  46  | 6-prenylnaringenin |    Q13510   |      5.69     |
|  47  |    Cannflavin B    |    B7VFE3   |      5.68     |
|  48  |    Cannflavin B    |    O75173   |      5.68     |
|  49  |    Cannflavin A    |    P05231   |      5.68     |
|  50  |     Quercetin      |  A0A0A1I7H6 |      5.68     |
|  51  |    Cannflavin A    |    P43405   |      5.67     |
|  52  |     Quercetin      |    Q9MYB9   |      5.66     |
|  53  |     Canniprene     |    P05231   |      5.66     |
|  54  |     Quercetin      |    Q96P31   |      5.65     |
|  55  |    Cannflavin A    |    A2NVQ1   |      5.65     |
|  56  |    Cannflavin B    |    B5A964   |      5.64     |
|  57  |     Canniprene     |    P43405   |      5.64     |
|  58  |    Cannflavin C    |    Q13510   |      5.64     |
|  59  |    Cannflavin B    |    P35916   |      5.63     |
|  60  |     Quercetin      |    Q5TBB1   |      5.63     |
|  61  |     Canniprene     |    A2NVQ1   |      5.62     |
